utt_id,crop_path,textgrid_path,duration,fps,num_frames,expected_frames
s01_ml_hindi_video_01_lossless_seg_0002,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0002.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0002.TextGrid,8.54,25,216,213.49999999999997
s01_ml_hindi_video_01_lossless_seg_0003,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0003.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0003.TextGrid,9.98,25,251,249.5
s01_ml_hindi_video_01_lossless_seg_0004,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0004.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0004.TextGrid,7.036,25,178,175.89999999999998
s01_ml_hindi_video_01_lossless_seg_0005,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0005.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0005.TextGrid,9.966,25,252,249.14999999999998
s01_ml_hindi_video_01_lossless_seg_0006,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0006.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0006.TextGrid,8.206,25,207,205.14999999999998
s01_ml_hindi_video_01_lossless_seg_0007,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0007.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0007.TextGrid,0.7,25,20,17.5
s01_ml_hindi_video_01_lossless_seg_0008,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0008.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0008.TextGrid,9.966,25,251,249.14999999999998
s01_ml_hindi_video_01_lossless_seg_0009,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0009.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0009.TextGrid,3.662,25,94,91.55
s01_ml_hindi_video_01_lossless_seg_0010,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0010.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0010.TextGrid,8.156,25,206,203.9
s01_ml_hindi_video_01_lossless_seg_0011,/media/newhddd/poorva/lip2phoneme/lip_videos_npys/s01_ml_hindi_video_01_lossless_seg_0011.npy,/media/newhddd/poorva/hindi_alignments/s01_ml_hindi_video_01_lossless_seg_0011.TextGrid,4.092,25,105,102.3
